Time,X,Y,Z
1718247417.7572756,-0.0028728051111102104,-2.3749423027038574,-2.875941038131714
1718247417.8577113,-0.0029212343506515026,-2.374704360961914,-2.875004529953003
1718247417.9581413,-0.0029124778229743242,-2.3738603591918945,-2.8740954399108887
1718247418.058528,-0.0028360828291624784,-2.3737547397613525,-2.8742635250091553
1718247418.158772,-0.00291606318205595,-2.374403953552246,-2.8750252723693848
1718247418.2591934,-0.0030647304374724627,-2.3739466667175293,-2.874706506729126
1718247418.36005,-0.0028933146968483925,-2.373263359069824,-2.8737640380859375
1718247418.4606287,-0.0028154244646430016,-2.3734729290008545,-2.8739635944366455
1718247418.5616457,-0.0029457341879606247,-2.3730552196502686,-2.8736765384674072
1718247418.6618524,-0.0029683453030884266,-2.3721506595611572,-2.872445583343506
1718247418.7623634,-0.0028718493413180113,-2.3719940185546875,-2.8722026348114014
1718247418.863047,-0.002949582180008292,-2.372391939163208,-2.8725080490112305
1718247418.963476,-0.0029005741234868765,-2.3729782104492188,-2.8734688758850098
1718247419.0640397,-0.0028328695334494114,-2.3734357357025146,-2.8738911151885986
1718247419.1646888,-0.0028778130654245615,-2.3734235763549805,-2.8738598823547363
1718247419.2649467,-0.002927312394604087,-2.3738629817962646,-2.8743789196014404
1718247419.3655534,-0.0028851861134171486,-2.3744242191314697,-2.8749825954437256
1718247419.4661322,-0.002924840897321701,-2.374248743057251,-2.8748972415924072
1718247419.5672028,-0.0029006253462284803,-2.3745925426483154,-2.874925374984741
1718247419.6677194,-0.0028186417184770107,-2.374253034591675,-2.8750836849212646
1718247419.7678988,-0.0028987990226596594,-2.3742122650146484,-2.8747365474700928
1718247419.8684285,-0.003070166101679206,-2.373779535293579,-2.874220371246338
1718247419.9686346,-0.0029553878121078014,-2.374220848083496,-2.874946355819702
1718247420.069349,-0.0028552990406751633,-2.374908447265625,-2.8757951259613037
1718247420.1699944,-0.0027992974501103163,-2.3750627040863037,-2.875925302505493
1718247420.2702672,-0.0029169090557843447,-2.3752591609954834,-2.876302480697632
1718247420.3706613,-0.002973259426653385,-2.375110149383545,-2.8758230209350586
1718247420.4715915,-0.0029144082218408585,-2.374755382537842,-2.8756699562072754
1718247420.5719037,-0.002987532876431942,-2.373979330062866,-2.8747646808624268
1718247420.6726747,-0.0028720053378492594,-2.3733012676239014,-2.8737752437591553
1718247420.7731543,-0.0029094931669533253,-2.3735287189483643,-2.874070644378662
1718247420.8737237,-0.0030109619256109,-2.3730173110961914,-2.873551607131958
1718247420.9744296,-0.0026835689786821604,-2.3727331161499023,-2.8726084232330322
1718247421.0749073,-0.0028009836096316576,-2.3731770515441895,-2.873584508895874
1718247421.1756344,-0.0027606154326349497,-2.3729991912841797,-2.873229503631592
1718247421.2766416,-0.003066468285396695,-2.3730459213256836,-2.8733155727386475
